sysid;customerId;last;first;gender
1537;C1537;Kennedy;Gerald;M
1538;C1538;Jackson;William;F
1539;C1539;Madison;Dwight;M
1540;C1540;Jefferson;Jimmy;M
1541;C1541;Cleveland;Thomas;M
1542;C1542;Taylor;Millard;F
1543;C1543;McKinley;Theodore;M
1544;C1544;Quincy;Rutherford;F
1545;C1545;Roosevelt;Lyndon;M
1546;C1546;Nixon;Harry;F
1547;C1547;Jefferson;Benjamin;M
1548;C1548;Johnson;Theodore;M
1549;C1549;Roosevelt;Andrew;F
1550;C1550;Arthur;Andrew;F
1551;C1551;Jefferson;William;M
1552;C1552;Carter;Calvin;M
1553;C1553;Truman;Grover;M
1554;C1554;Harrison;Chester;F
1555;C1555;Nixon;Benjamin;F
1556;C1556;Carter;John;F
1557;C1557;Polk;Grover;F
1558;C1558;Eisenhower;Jimmy;F
1559;C1559;Polk;Calvin;F
1560;C1560;Polk;Richard;M
1561;C1561;Grant;Richard;M
1562;C1562;Adams;Harry;M
1563;C1563;Madison;Millard;F
1564;C1564;Truman;Harry;F
1565;C1565;Garfield;Chester;M
1566;C1566;Buchanan;Ronald;M
1567;C1567;Coolidge;William;M
1568;C1568;Hayes;John;M
1569;C1569;Tyler;Warren;F
1570;C1570;Adams;Zachary;M
1571;C1571;Taft;Benjamin;M
1572;C1572;Jackson;Richard;F
1573;C1573;Jackson;Millard;F
1574;C1574;Monroe;Abraham;M
1575;C1575;Arthur;Ronald;F
1576;C1576;Jackson;Andrew;F
1577;C1577;Washington;Millard;M
1578;C1578;Harrison;Harry;F
1579;C1579;Coolidge;Thomas;M
1580;C1580;Nixon;John;F
1581;C1581;Jefferson;Harry;F
1582;C1582;Wilson;James;M
1583;C1583;Harrison;Ulysses;M
1584;C1584;Clinton;Chester;M
1585;C1585;Adams;Chester;M
1586;C1586;Carter;George;F
1587;C1587;McKinley;Calvin;M
1588;C1588;Grant;Theodore;F
1589;C1589;Ford;William;M
1590;C1590;Harrison;Rutherford;F
1591;C1591;Johnson;Herbert;M
1592;C1592;Hayes;Ronald;F
1593;C1593;Jefferson;John;F
1594;C1594;Harding;Benjamin;F
1595;C1595;Van Buren;Bill;M
1596;C1596;Polk;Grover;F
1597;C1597;Tyler;James;M
1598;C1598;Fillmore;Woodrow;M
1599;C1599;Truman;Andrew;F
1600;C1600;Madison;James;F
1601;C1601;Hayes;Benjamin;F
1602;C1602;Johnson;Millard;F
1603;C1603;Hayes;Franklin;M
1604;C1604;Roosevelt;Thomas;F
1605;C1605;Jefferson;George;F
1606;C1606;Buchanan;Calvin;F
1607;C1607;Adams;Grover;M
1608;C1608;Jackson;Warren;F
1609;C1609;Garfield;Ronald;M
1610;C1610;Polk;Harry;F
1611;C1611;Hayes;Lyndon;M
1612;C1612;Quincy;John;M
1613;C1613;Monroe;Millard;F
1614;C1614;Grant;Andrew;M
1615;C1615;Roosevelt;Andrew;M
1616;C1616;Hayes;Benjamin;M
1617;C1617;Washington;James;F
1618;C1618;Buchanan;Andrew;M
1619;C1619;Clinton;Jimmy;F
1620;C1620;Adams;Bill;M
1621;C1621;Coolidge;Calvin;M
1622;C1622;Harrison;Theodore;M
1623;C1623;Cleveland;Gerald;F
1624;C1624;Wilson;Lyndon;F
1625;C1625;Johnson;Chester;M
1626;C1626;Hoover;Benjamin;F
1627;C1627;Taft;Millard;M
1628;C1628;Buchanan;Abraham;M
1629;C1629;Arthur;Gerald;M
1630;C1630;Roosevelt;Martin;F
1631;C1631;Kennedy;Rutherford;F
1632;C1632;McKinley;George;F
1633;C1633;Taft;Gerald;F
1634;C1634;Harrison;Ulysses;M
1635;C1635;Clinton;Lyndon;M
1636;C1636;Jefferson;Zachary;F
1637;C1637;Adams;George;F
1638;C1638;Grant;Jimmy;F
1639;C1639;Eisenhower;Gerald;M
1640;C1640;Roosevelt;Bill;M
1641;C1641;Taft;James;M
1642;C1642;Garfield;Grover;F
1643;C1643;Harrison;Harry;M
1644;C1644;Clinton;Richard;F
1645;C1645;Taft;Woodrow;M
1646;C1646;Wilson;Andrew;F
1647;C1647;Adams;Andrew;M
1648;C1648;Hayes;Dwight;M
1649;C1649;Nixon;Grover;M
1650;C1650;Madison;William;M
1651;C1651;Taft;Chester;F
1652;C1652;Buchanan;Jimmy;F
1653;C1653;Ford;Andrew;F
1654;C1654;Hayes;Jimmy;M
1655;C1655;Jackson;James;M
1656;C1656;Arthur;Bill;M
1657;C1657;Nixon;Calvin;F
1658;C1658;Monroe;Grover;M
1659;C1659;Carter;Dwight;F
1660;C1660;Fillmore;Abraham;F
1661;C1661;Roosevelt;Woodrow;F
1662;C1662;Cleveland;Grover;F
1663;C1663;Cleveland;Andrew;M
1664;C1664;Adams;Gerald;M
1665;C1665;Harrison;George;F
1666;C1666;Quincy;Calvin;F
1667;C1667;Monroe;Andrew;M
1668;C1668;Roosevelt;Martin;M
1669;C1669;Madison;Chester;F
1670;C1670;Washington;Bill;F
1671;C1671;Cleveland;Andrew;M
1672;C1672;Wilson;Ronald;M
1673;C1673;Fillmore;Franklin;F
1674;C1674;Jefferson;Calvin;F
1675;C1675;Lincoln;Herbert;M
1676;C1676;Harrison;Andrew;F
1677;C1677;Adams;Ulysses;M
1678;C1678;Coolidge;William;M
1679;C1679;Taft;Lyndon;F
1680;C1680;Johnson;Bill;F
1681;C1681;Eisenhower;Warren;M
1682;C1682;Jackson;Millard;M
1683;C1683;Harrison;Martin;F
1684;C1684;Harrison;Harry;M
1685;C1685;Grant;Harry;F
1686;C1686;Carter;William;M
1687;C1687;Buchanan;James;M
1688;C1688;Reagan;Bill;M
1689;C1689;Roosevelt;Andrew;F
1690;C1690;Harding;Martin;F
1691;C1691;Madison;George;F
1692;C1692;Tyler;Warren;F
1693;C1693;Eisenhower;Ulysses;F
1694;C1694;Quincy;Richard;M
1695;C1695;Monroe;Warren;M
1696;C1696;Cleveland;Grover;F
1697;C1697;Taft;James;M
1698;C1698;Ford;Harry;F
1699;C1699;Wilson;Calvin;M
1700;C1700;Harrison;Franklin;M
1701;C1701;Lincoln;Warren;M
1702;C1702;Garfield;Warren;M
1703;C1703;Carter;Theodore;M
1704;C1704;Carter;Grover;M
1705;C1705;Johnson;Jimmy;M
1706;C1706;Johnson;Ronald;M
1707;C1707;Quincy;Chester;F
1708;C1708;Washington;Rutherford;M
1709;C1709;Fillmore;Thomas;F
1710;C1710;Buchanan;Zachary;M
1711;C1711;Adams;Grover;F
1712;C1712;Tyler;Jimmy;F
1713;C1713;Pierce;Richard;F
1714;C1714;Cleveland;Rutherford;M
1715;C1715;Fillmore;Andrew;M
1716;C1716;Wilson;Rutherford;M
1717;C1717;Reagan;Woodrow;M
1718;C1718;Pierce;Grover;F
1719;C1719;Wilson;George;F
1720;C1720;Tyler;Jimmy;F
1721;C1721;Harding;Chester;M
1722;C1722;Harrison;Bill;F
1723;C1723;Truman;James;F
1724;C1724;Hayes;Benjamin;M
1725;C1725;Harrison;Abraham;F
1726;C1726;Fillmore;George;F
1727;C1727;Van Buren;William;M
1728;C1728;Jefferson;Andrew;M
1729;C1729;Kennedy;Martin;M
1730;C1730;Nixon;Jimmy;M
1731;C1731;Madison;Ulysses;F
1732;C1732;Washington;Ulysses;M
1733;C1733;Taylor;John;M
1734;C1734;Nixon;Gerald;F
1735;C1735;Adams;John;M
1736;C1736;Wilson;John;F
1737;C1737;Reagan;Thomas;F
1738;C1738;Fillmore;Jimmy;F
1739;C1739;Hoover;Warren;M
1740;C1740;Nixon;Woodrow;M
1741;C1741;Pierce;James;F
1742;C1742;Pierce;Abraham;F
1743;C1743;Hayes;Gerald;M
1744;C1744;Tyler;Warren;M
1745;C1745;Tyler;Millard;F
1746;C1746;Buchanan;Gerald;F
1747;C1747;Tyler;Harry;F
1748;C1748;Arthur;William;F
1749;C1749;Taft;Herbert;M
1750;C1750;Madison;Gerald;F
