No,Prefix,First Name,Last Name,Email,City,State,Zip code,Date,Campaign,Phone,Marital_Status
102,Mrs,Christine,Bron,cbron@adeo.com,Campbellton,TX,78008,3/20/2018,Email Blast,510-828-7047,
103,Mr,Walrand,Burns,cburns1u@1688.com,Three Rivers,MI,49093,3/8/2018,Email Blast,808-892-7943,
104,Mr,Thierry,Burton,cburtonpr@google.co.jp,Northbrook,IL,60062,12/25/2014,Analyst Recommendations,952-334-9408,
105,Mr,Cyril,Chavez,cchavezd7@elpais.com,Prentiss,MS,39474,3/19/2018,Email Blast,336-243-5659,
106,Mr,Olivier,Dean,cdean3j@weather.com,Ft Lauderdale,FL,33311,10/15/2018,Analyst Recommendations,516-509-2347,
107,Mr,Christopher,Fernandez,cfernandezfo@bloomberg.com,Los Angeles,CA,90024,8/24/2018,Social Media,503-939-3153,
108,Mr,Jose,Garrett,cgarrett7y@typepad.com,Belgrade,MT,59714,7/21/2018,Email Blast,608-976-7199,
109,Mrs,Nadine,Garza,cgarzar0@1und1.de,Portland,OR,97205,2/1/2018,Email Blast,508-429-8576,
110,Mr,Charles,Hansen,chansenk@printemps.com,Vancouver,WA,98686,3/6/2018,Email Blast,305-385-9695,
111,Mr,Craig,Harper,charper7i@southwest.com,Norwalk,OH,44857,11/10/2018,Email Blast,814-460-2655,
112,Mr,Thierry,Harper,charpergr@g.co,Houston,TX,77058,4/9/2018,Email Blast,972-666-3413,
113,Mr,Francois,Hayes,chayesbv@united.com,El Segundo,CA,90245,1/4/2018,Analyst Recommendations,931-273-8709,
114,Mrs,Isabelle,Jackson,cjacksonp@southwest.com,South Lyon,MI,48178,10/15/2018,Email Blast,973-649-2922,No
115,Mrs,Clarisse,Jentin,cjentin@loxam.com,Las Cruces,NM,88005,8/22/2018,Partner Promotion,305-420-8970,No
116,Mrs,Laurence,Johnson,cjohnson7d@nbcnews.com,New Haven,CT,6511,4/9/2018,Email Blast,410-224-9462,No
117,Mr,Eric,Johnston,cjohnstone4@blogtalkradio.com,San Bruno,CA,94066,10/14/2018,Email Blast,805-275-3566,No
118,Mr,Charley,Jone,cjone@opera.com,Framingham,MA,1701,5/11/2018,Email Blast,808-215-6832,No
119,Mr,Frederic,Jordan,cjordanlp@southwest.com,Houston,TX,77006,5/20/2018,Analyst Recommendations,229-735-3378,No
120,Mrs,Katia,Knight,cknightf1@ucoz.ru,Chesapeake,VA,23320,4/23/2018,Email Blast,617-418-5043,No
121,Mrs,Maud,Larson,clarson@ageas.com,Phoenix,AZ,85003,4/8/2018,Partner Promotion,201-672-1553,
122,Mr,Philippe,Lynch,clynchbi@1und1.de,Rush Center,KS,67575,12/11/2018,Social Media,650-933-5072,
123,Mr,Samir,Miller,cmillernz@hud.gov,Jensen Beach,FL,33457,4/17/2018,Email Blast,909-639-9887,Yes
124,Mr,Francois,Moore,cmooreit@1und1.de,Victoria,TX,77901,6/20/2018,Email Blast,510-955-3016,Yes
125,Mrs,Eglantine,Myers,cmyersdf@boeingt.com,Portland,OR,97205,4/17/2018,Email Blast,518-497-2940,Yes
126,Mr,Philippe,Nichols,cnicholshk@army.mil,Madison,WI,53703,3/1/2018,Email Blast,570-867-7489,Yes
127,Mrs,Claire,Owens,cowenskv@sdis13.com,Reno,NV,89501,6/26/2018,Email Blast,973-245-2133,Yes
128,Mr,Gerardo,Reynolds,creynolds29@icloud.com,Bato,LA,70815,10/25/2018,Social Media,908-409-2890,Yes
129,Mrs,Dalila,Richardson,crichardson6i@mozilla.org,Carbondale,IL,62901,1/23/2018,Analyst Recommendations,321-749-4981,Yes
130,Mr,Christophe,Riget,criget@creditagricole.com,Lake Dallas,TX,76065,4/4/2016,Partner Promotion,718-809-3762,
131,Mrs,Christine,Romero,cromerom1@socgen.com,Hackensack,NJ,7601,12/8/2018,Email Blast,808-315-3077,
132,Mrs,Rachel,Romero,cromeron0@warstila.com,Miami,FL,33131,4/3/2018,Partner Promotion,303-623-4241,
133,Mr,Quac,Ruiz,cruizi6@marketwatch.com,Asheville,NC,28801,1/22/2018,Partner Promotion,973-310-1634,
134,Mr,Damien,Ryan,cryanp0@united.com,Bato,LA,70815,1/4/2018,Email Blast,609-524-3586,
135,Mr,Johnathon,Turner,cturner1w@ft.com,Salem,OR,97305,9/17/2018,Social Media,908-877-8409,
136,Mr,Gerardo,Vasquez,cvasquez6z@jetblue.com,Dallas,TX,75207,9/24/2018,Social Media,508-584-4279,Yes
137,Mr,Alexis,Villon,cvillon@gemalto.com,Chicago,IL,60657,2/11/2018,Partner Promotion,773-775-4522,No
138,Mr,Antoine,White,cwhitemx@nps.gov,Cypress Gardens,FL,33884,1/19/2018,Email Blast,503-527-5274,Yes
139,Mrs,Eglantine,Wilson,cwilson3t@southwest.com,Little Rock,AR,72212,12/19/2014,Analyst Recommendations,214-339-1809,
140,Mr,Erik,Wright,cwright75@vistaprint.com,Southfield,MI,48075,6/30/2018,Email Blast,312-303-5453,
141,Mr,Gregory,Bailey,dbaileycf@hexun.com,Seattle,WA,98109,8/21/2018,Partner Promotion,419-939-3613,
142,Mrs,Caroline,Barnes,dbarnes45@minefi.com,Ferndale,WA,98248,6/17/2018,Email Blast,951-645-3605,No
143,Mrs,Diane,Coleman,dcoleman3u@dailymail.co.uk,Olivette,MO,63132,3/20/2018,Email Blast,254-463-4368,
144,Mr,Cyrille,Cooper,dcooperbd@jalbum.net,Everett,WA,98275,12/16/2014,Email Blast,615-406-7854,
145,Mr,David,Coppeur,dcopeur@ingenico.com,Indianapolis,IN,46218,1/5/2018,Email Blast,414-959-2540,No
146,Mrs,Deborah,Diaz,ddiaz@samsung.com,Saginaw,MI,48607,1/23/2018,Email Blast,410-387-5260,
147,Mrs,Isabelle,Foster,dfosterli@symantec.com,Fredericksburg,VA,22408,4/15/2018,Analyst Recommendations,972-934-6914,
148,Mr,Virgil,Garcia,dgarciant@nationalgeographic.com,New York,NY,10029,12/18/2014,Email Blast,310-560-8022,
149,Mr,Django,Gibon,dgibon@united.com,Richmond,VA,23219,7/10/2018,Email Blast,516-948-5768,
150,Mr,Carole,Hanson,dhanson2o@united.com,St Petersburg,FL,33701,6/15/2018,Analyst Recommendations,609-518-7697,
151,Mr,Felix,Hunter,dhunter7m@patch.com,Decatur,IL,62522,3/12/2014,Partner Promotion,513-508-7371,Yes
152,Mrs,Virginie,Hunter,dhunterau@google.it,Randlett,UT,84063,1/3/2018,Email Blast,541-326-4074,
153,Mr,Pat,Jenkins,djenkins1t@usatoday.com,Louisville,KY,40299,9/23/2018,Email Blast,919-533-3762,
154,Mr,Lionel,Long,dlongb9@multiply.com,Bronx,NY,10458,3/2/2018,Partner Promotion,212-332-8435,
155,Mr,Maxime,Mendoza,dmendoza5i@istockphoto.com,Columbia,SC,29223,1/14/2018,Email Blast,602-906-9419,
156,Mr,Autodistribution,Payne,dpaynens@usatoday.com,New Orleans,LA,70112,2/13/2018,Email Blast,317-234-1135,
157,Mr,Yves,Pierce,dpierce9p@united.com,Lenexa,MO,66215,12/5/2018,Partner Promotion,315-304-4759,
158,Mr,Didier,Porter,dporterki@yahoo.com,Suitland,MD,20746,3/12/2014,Email Blast,856-487-5412,
159,Mr,Daniel,Price,dprice5h@ibm.com,Trafalgar,IN,46181,12/2/2018,Email Blast,516-212-1915,
160,Mr,Didier,quellier,dquellier@natixis.com,Portland,OR,97214,10/3/2018,Email Blast,501-308-1040,No
161,Mr,Gabriel,Ray,draynf@webmd.com,Jamestown,NY,14701,12/8/2018,Email Blast,651-591-2583,
162,Mr,Romaric,Reynolds,dreynoldsqs@sphinn.com,Elmhurst,NY,11373,8/6/2018,Email Blast,215-325-3042,
163,Mr,Lou,Sanchez,dsanchezj3@cnrs.com,Minneapolis,MN,55402,1/13/2018,Email Blast,985-890-7262,
164,Mr,Daniel,Sanders,dsandersmb@yellowpages.com,Kansas City,MO,64106,1/8/2018,Partner Promotion,631-957-7624,
165,Mr,Fabien,Stewart,dstewart30@facebook.com,Concord,CA,94520,1/18/2018,Social Media,916-591-3277,
166,Mr,Pierre,Webb,dwebbg@purevolume.com,Miami,FL,33176,7/31/2018,Analyst Recommendations,208-649-2373,
167,Mr,Rodolphe,Wells,dwellshh@gizmodo.com,Farmington Hills,MI,48331,8/23/2018,Analyst Recommendations,512-587-5746,
168,Mrs,Laurence,West,dwestce@zimbio.com,Norristown,PA,19403,7/9/2018,Social Media,215-964-3284,
169,Mr,Joel,Williams,dwilliams91@bandcamp.com,Columbus,GA,31901,10/14/2018,Social Media,808-477-4775,
170,Mr,Christian,Williamson,dwilliamsonex@tuttocitta.it,Whippany,NJ,7981,12/18/2014,Email Blast,775-501-8109,
171,Mr,Eugene,Allen,eallen@united.com,Corpus Christi,TX,78476,2/19/2018,Email Blast,847-979-9545,
172,Mr,Ernest,Allen,eallenpx@aurel.com,Richmond,VA,23233,10/2/2018,Social Media,973-545-7355,Yes
173,Mr,Edouard,Bishop,ebishop2@heliocome.com,Gagetown,MI,48735,3/24/2018,Email Blast,864-256-3620,
174,Mr,Yoni,Boyd,eboydkd@united.com.hk,Imperial Beach,CA,92032,6/28/2018,Partner Promotion,410-209-9545,
175,Mr,Nicolas,Castillo,ecastillobw@squarespace.com,Pompano Beach,FL,33064,7/3/2018,Email Blast,914-855-2115,
176,Mrs,Marie-Francoise,Chavez,echaveziv@vkontakte.ru,La Habra,CA,90631,2/25/2018,Email Blast,212-260-3151,
177,Mrs,Aurelie,Cook,ecook2@sorbonne.edu,Brockton,MA,2401,10/13/2018,Email Blast,510-677-9785,
178,Mr,Maurice,Cox,ecoxco@oracle.com,Salinas,CA,93901,8/7/2018,Email Blast,978-697-6263,
179,Mr,Serge,Edwards,eedwardsrq@noaa.gov,Winchester,KY,40391,1/16/2018,Email Blast,415-767-6596,
180,Mr,Gael,Fowler,efowler77@vinaora.com,Santa Clara,CA,95054,1/4/2018,Email Blast,201-971-1638,
181,Mr,Eric,Franklin,efranklinjp@idf.gov,Philadelphia,PA,19103,1/25/2018,Social Media,925-634-7158,
182,Mrs,Julie,Gardner,egardner8g@laposte.com,Sharonville,OH,45241,6/24/2018,Email Blast,773-494-4195,
183,Mr,Christian,Gomez,egomezh9@webs.com,Philadelphia,PA,19103,2/3/2018,Partner Promotion,973-943-3423,
184,Mrs,Elizabeth,Hayes,ehayes5g@sina.com.cn,Landover,MD,20785,3/15/2018,Partner Promotion,419-544-4900,
185,Mr,Reynald,Jackson,ejacksony@yahoo.co.jp,Mount Pleasant,TX,75455,9/24/2018,Email Blast,310-579-2907,
186,Mr,Sylvain,Kennedy,ekennedyg5@youtu.be,Salina,KS,67401,7/28/2018,Email Blast,352-242-2570,
187,Mr,Guillaume ,Kim,ekim3q@united.com,Jersey City,NJ,7305,8/2/2018,Analyst Recommendations,408-758-5015,
188,Mr,Antony,Kim,ekim55@ftc.gov,Raleigh,NC,27607,10/7/2018,Email Blast,570-889-5187,
189,Mr,Kamel,Little,elittlepc@mtv.com,Tucson,AZ,85701,8/22/2018,Partner Promotion,201-588-7810,
190,Mrs,Nate,Mills,emillsi8@wired.com,Centennial,CO,80111,12/3/2018,Email Blast,925-615-5185,
191,Mrs,Rachel,Reynolds,ereynoldsjr@cnet.com,Miramar,FL,33025,7/30/2018,Email Blast,908-802-3564,
192,Mr,Patrick,Robertson,erobertson26@ask.com,San Antonio,TX,78205,10/10/2018,Partner Promotion,631-748-6479,
193,Mr,Smain,Robertson,erobertsonq8@php.net,Vancouver,WA,98663,2/5/2018,Partner Promotion,805-690-1682,
194,Mr,Eric,Schmidt,eschmidt1y@ebay.com,Ellicott City,MD,21042,3/30/2018,Partner Promotion,908-275-8357,
195,Mr,Xavier,Shaw,eshaw4f@constantcontact.com,Longview,TX,75601,12/3/2018,Partner Promotion,503-940-8327,
196,Mr,Pascal,Stephens,estephens54@about.com,East Lansing,MI,48823,4/3/2018,Analyst Recommendations,503-516-2189,
197,Mr,Victor,Thompson,ethompson72@cornell.edu,Riverside,CA,92507,8/12/2014,Email Blast,856-305-9731,
198,Mr,Jose,West,ewest27@dion.ne.jp,Fayetteville,NC,28301,11/27/2014,Partner Promotion,770-507-8791,
199,Mr,Radu,Banks,fbankslj@wsj.com,Birmingham,AL,35222,5/30/2018,Email Blast,904-235-3633,
200,Mrs,Murielle,Carter,fcarterls@hao123.com,Waukesha,WI,53186,9/19/2018,Partner Promotion,207-458-9196,
201,Mr,Christophe,Cunningham,fcunninghamil@quantcast.com,Belhaven,NC,27810,4/28/2018,Social Media,817-765-5781,No
202,Mrs,France,Dicon,fdicon@ibm.com,Mcallen,TX,78501,9/23/2018,Email Blast,716-752-4114,
203,Mr,Regis,Elliott,felliottlk@ifeng.com,Houston,TX,77020,7/1/2018,Email Blast,305-670-9628,
204,Mr,Daniel,Foster,ffostermf@earthlink.net,Tampa,FL,33634,11/10/2018,Partner Promotion,212-313-1783,
205,Mr,Lionel,Hansen,fhansenib@netlog.com,Redmond,WA,98052,3/28/2018,Partner Promotion,215-605-7570,
206,Mrs,Brigitte,Hawkins,fhawkinsoz@keyrus.com,Yonkers,NY,10701,8/24/2018,Email Blast,850-430-1663,
207,Mr,Fred,Hughes,fhughesqy@jetblue.com,San Francisco,CA,94107,4/20/2018,Email Blast,415-306-7897,
208,Mrs,calixte,Kelly,fkellynv@printemps.com,Jacksonville,NC,28540,8/23/2018,Social Media,408-504-3552,
209,Mr,Franck,Kennedy,fkennedy@yauchan.com,New York,NY,10016,4/12/2014,Email Blast,650-947-1215,
210,Mr,Thierry,King,fkingis@jimdo.com,Richmond,VA,23222,7/9/2018,Email Blast,818-864-4875,
211,Mrs,Florence,Montgomery,fmontgomery@bergerlevrault.com,Jackson,MS,39211,7/29/2018,Analyst Recommendations,215-558-8189,
212,Mr,Frederic,Rodriguez,frodriguez@alstom.com,Newton,GA,31770,6/7/2018,Analyst Recommendations,337-253-8384,
213,Mr,Cyrille,Ruiz,fruiziy@cnrs.com,Atlanta,GA,30328,4/6/2018,Partner Promotion,313-533-4884,
214,Mrs,Delphine,West,fwest4g@posterous.com,Salt Lake City,UT,84113,8/15/2018,Analyst Recommendations,512-213-8574,
215,Mr,Virgil,Andrews,gandrews59@scientificamerican.com,Lubbock,TX,79401,2/20/2018,Analyst Recommendations,214-428-2285,
216,Mrs,Peggy,Brown,gbrown@canalblog.com,Las Cruces,NM,88001,2/21/2018,Analyst Recommendations,206-697-5796,
217,Mr,Nicolas,Bryant,gbryantlm@cnamts.com,Southfield,MI,48034,1/11/2018,Partner Promotion,610-476-3501,
218,Mr,Greg,Butler,gbutlerq0@united.com,Milwaukee,WI,53226,7/9/2018,Email Blast,215-372-1718,
219,Mr,Laurent,Collins,gcollinsrn@aphp.com,Dayton,OH,45402,4/28/2018,Partner Promotion,310-858-5079,
220,Mr,Gerald,Denne,gdenne@bred.com,Cambridge,MA,2141,1/6/2018,Email Blast,707-653-8214,
221,Mr,Jerome,Franklin,gfranklinox@abc.net.au,San Carlos,CA,94070,3/22/2018,Partner Promotion,407-808-9439,
222,Mrs,Lise,Green,ggreenpe@comcast.net,Asheville,NC,28806,10/16/2018,Social Media,760-971-4322,
